plotname,numpols,ttd,numtips,numnodes,collessmet,sackinmet,gamma,mntd,mpd
?801833,4,13371.7043061971,40,31,0.277052066446009,0.392913922127248,-4.84228049340385,274.623504325,522.650755475641
?801908,0,8091.36486633884,24,23,0.604544356878666,0.53141697782632,-4.42312637875705,307.64517975,523.839421833333
?812056,2,9926.62209164939,36,33,0.699079248770502,0.595326050855166,-4.01319933033096,229.715270194444,526.457480068254
?812067,0,5625.92906796449,22,21,1.70670724901981,1.30019168138363,-5.33205480989225,387.877804590909,532.87443769697
%780453,1,9168.14644248388,32,30,0.743945617760219,0.72675960912696,-4.13641381890941,256.794775125,513.765688540323
%796961,2,8309.2708433505,37,34,1.36987847278059,1.13736809289721,-4.80786492113186,265.706890432432,523.06872990991
%801752,1,6158.69182593061,28,26,0.533727010384741,0.324229350638693,-5.31307196762457,301.248385321429,513.859372695767
%801754,0,7582.05616957322,33,32,1.19518153485104,1.03452476064211,-4.80298528098855,272.499495757576,521.305587238636
%801756,0,4674.16534085092,13,12,0.627905240021485,0.485886335886336,-3.89260847780112,385.819328230769,501.013335051282
%801762,4,10053.7898323428,33,28,1.07396941363892,0.85270657882393,-4.29563552636999,257.82877130303,528.462446215909
%801763,0,6772.54934340878,30,29,1.11473413889779,0.743359071492552,-4.7762120348917,285.741616,510.108343563218
%801764,2,7509.7447756622,42,39,1.47349999751467,1.25127629146523,-5.51793422201465,272.702013285714,525.015545390244
%801765,5,8524.21205909795,52,45,2.16468780197852,1.88545056014356,-5.30951960170955,242.102788211538,524.326109678733
%801766,4,7430.35049027094,40,35,1.17705206644601,0.942913922127248,-5.89244339649705,277.905124025,524.726227148718
%801767,2,10565.1318062886,34,30,0.883688643002607,0.70475648969737,-4.49929329786092,270.461036411765,517.218534433155
%801768,1,10995.9483715856,31,27,-0.0922492323122981,0.0422838026753471,-3.88356841983374,228.708563580645,517.353826219355
%801769,2,11840.3651395845,29,25,0.88656672505623,0.800830335860367,-3.69566018422459,267.987014241379,532.463667507389
%801770,2,8944.61194801016,32,29,1.11894561776022,0.97675960912696,-4.87102893817968,298.522211625,528.784478457661
%801771,0,8115.3096585446,33,32,1.10427244394195,0.88300960912696,-4.97485148931641,276.346646818182,531.049575484848
%801772,1,9666.62702591775,36,34,0.254634804326058,0.150881606410722,-4.27653113506662,232.014434611111,514.654516604762
%801773,0,7678.34433918662,27,26,1.48676132122228,1.21708649349584,-4.7101127978558,316.010204851852,531.662519179487
%801774,0,5346.71503446827,17,16,0.1650711176802,0.179718484130249,-4.2149500817042,339.980374352941,505.391595720588
%801775,0,8296.84566100861,23,22,1.93695904376123,1.53141697782632,-4.63799333238348,355.293476521739,523.336292245059
%801778,1,9193.21729364473,28,26,0.0694412960990269,0.00280077921012126,-3.90327743178822,253.296916642857,518.019877970899
%801779,3,11121.3079434144,33,29,0.801242140911646,0.640585366702717,-3.9713475013751,251.311742666667,518.369545219697
%801781,1,12561.79964669,21,18,0.785694797122237,0.661663542855494,-3.64885004682835,303.939219190476,521.999344228571
%801783,4,11242.3945025993,42,34,0.830642854657529,0.656038196227133,-4.42980765685045,251.048215095238,520.571425946574
%801784,3,8111.24825434154,46,42,1.37424664580998,1.21010376889736,-4.76722358724232,244.825500086957,521.13978814686
%801785,0,10238.9255904171,17,16,0.341541705915494,0.120894954718484,-3.0755970254308,278.523390823529,503.315937264706
%801786,3,7814.74863937224,45,41,1.90926903078963,1.67677043556402,-5.41813239342147,265.321465022222,526.248735484848
%801811,2,8070.00062504382,39,36,2.68313910519953,2.26214469135802,-5.23561982409741,303.292692025641,531.50038120108
%801812,3,7014.10287160106,41,37,1.89016433190442,1.63803587334676,-6.01677511534679,294.308288463415,519.392060941463
%801813,4,10939.809138938,33,27,0.104272443941949,0.125433851551202,-3.5859214868027,227.433790909091,515.902385287879
$801900,1,8543.53034774645,45,42,1.26482458634518,1.03232599111958,-4.97065920395619,235.279130311111,529.504213836364
$812065,1,7560.61896156613,24,22,0.312877690211999,0.0730836444929868,-4.9002506489517,317.699461291667,505.156514855072
$812068,0,8113.73446607546,29,28,0.541739138849333,0.52496826689485,-4.02756598956356,253.509087241379,505.344644842365
$812071,1,9900.55723369052,32,30,-0.0373043822397814,0.0705096091269599,-4.4252894748676,250.7436254375,518.577966929435
$812072,0,9045.16212524433,29,28,0.714152931952782,0.628416542756919,-4.39046165888332,275.537774965517,524.751260182266
$812073,0,7093.02516662216,21,20,-0.119067107639668,-0.147860266668316,-4.15020810291174,298.710367285714,511.144208495238
$812074,3,10647.9777310368,41,37,1.28040823434344,1.07706026359066,-4.12553989040325,214.682018658537,524.44967314878
$812076,1,8107.10284003746,22,20,0.797616339928901,0.572918954110905,-4.25420623618501,309.498856,509.391931103896
$812077,1,8049.53979827673,22,20,0.843070885383447,0.891100772292723,-3.88819011575747,300.749873636364,498.771695770563
$812078,0,6971.45050742975,17,16,0.576835823562552,0.356189072365543,-3.21433539120439,283.450536529412,486.143301779412
$812079,0,6119.47022384661,16,15,0.905842798320164,0.551042013542014,-3.77794646738428,342.2902223125,489.82222115
0001779,2,8475.87500470626,28,25,1.67658415324188,1.25280077921012,-5.25838323488969,316.682092642857,506.679646018518
0002479,1,9074.16718190594,12,10,0.547691537438611,0.21024531024531,-3.64030478525908,376.227321916667,526.957770515152
