plotname,numpols,ttd,numtips,numnodes,collessmet,sackinmet,gamma
109184,0,13267.91464,13,12,0.089443702,0.101270951,-2.280156206
01KJ02,0,11878.3608,10,9,0.013346428,-0.057936508,-2.665959137
01KJ03,0,11378.02268,10,9,1.713346428,1.042063492,-2.571803761
01KJ05,0,8100.831817,15,14,0.341214653,0.23020868,-3.28683915
01KJ11,0,7406.196356,23,22,0.980437305,0.748808282,-4.629095251
01KJ12,0,7918.390751,8,7,0.786489979,0.314285714,-2.644671743
01MD01,0,6215.370015,15,14,0.874547986,0.63020868,-4.220845355
01MR02,0,10056.69819,10,9,0.513346428,0.242063492,-2.947456181
01MR03,0,12999.79863,11,10,0.172581702,0.142063492,-2.365315444
1,NA,1,NA,1,NA,1,NA
01MR05,0,7704.842643,11,10,-0.281963752,-0.312481962,-3.363631283
01NB01,0,6763.441776,10,9,-0.186653572,-0.257936508,-3.201447127
01NB03,0,7864.438474,21,20,1.214266226,0.899758781,-3.962861743
01NB04,1,11200.66913,18,16,1.447781985,1.232006066,-2.822858021
01OK056,0,8320.260236,26,25,1.357834983,1.021929798,-4.256604296
01OK096,2,8900.730925,39,36,1.580575003,1.415990845,-4.02920469
01OK097,0,8725.409426,37,36,2.153662257,1.867097823,-4.338148536
01OK098,3,8086.732104,40,36,1.327052066,1.192913922,-4.634997988
01OK099,0,7472.885938,28,27,1.248012725,1.038515065,-4.660884443
01OK100,2,8740.102572,32,29,1.681445618,1.351759609,-4.529607628
01OK117,0,11473.82612,18,17,-0.663329126,-0.434660601,-3.372707878
3779,1,8352.792137,32,30,1.837695618,1.195509609,-5.395567207
38780,0,6770.371806,12,11,1.131024871,0.96024531,-3.411265776
3879,1,10178.33508,27,25,1.190465025,0.772642049,-4.345318811
3979,1,9414.642978,26,24,1.780911906,1.368083644,-3.956912981
4179,0,9443.313124,31,30,1.391621735,1.139057996,-4.416313305
4279,0,9054.851252,27,26,1.042316877,0.772642049,-4.282255429
4379,0,10999.68638,22,21,1.29761634,0.800191681,-3.956420332
4479,0,14383.24158,21,20,3.214266226,2.423568305,-3.418732401
4579,1,10673.79192,24,22,2.021211024,1.531416978,-3.59557007
4679,1,12978.28492,21,19,1.309504321,0.994996876,-2.591201211
4879,0,10809.77286,9,8,0.029818054,-0.102380952,-2.096444101
4979,1,8043.84899,17,15,1.929777,1.473836131,-3.909788827
5079,3,8420.923504,39,35,1.606216028,1.287785717,-4.913611703
5279,0,5781.436286,9,8,0.252040277,0.11984127,-2.946678838
5679,0,9566.412269,9,8,0.252040277,0.11984127,-2.444884535
6079,3,8899.344983,40,36,1.252052066,1.017913922,-4.779572743
6179,0,10781.18298,9,8,0.363151388,0.230952381,-2.128919483
6479,2,9925.504496,30,27,1.414734139,1.176692405,-3.994151715
6879,1,7227.994679,9,7,0.252040277,0.11984127,-2.753028619
6979,2,13836.02661,20,17,2.120199247,1.604520686,-2.594101718
7079,1,6671.245494,14,12,-0.165982952,-0.145981796,-3.997619405
7379,4,9480.372167,48,43,1.86973051,1.58240565,-4.591290703
7679,3,9784.646982,38,34,1.057292729,0.912617026,-5.027764857
7779,0,8030.757799,22,21,0.024889067,-0.108899228,-4.241949784
7879,0,11417.19111,8,7,1.161489979,0.689285714,-2.117456493
7979,0,4941.285813,17,16,0.753306412,0.415012602,-4.826414341
8679,1,9554.707837,27,24,0.486761321,0.217086493,-4.116073528
8779,2,10201.82271,36,29,0.865745915,0.706437162,-5.057544453
8879,0,6398.378293,28,27,0.855155582,0.502800779,-5.069137344
9079,0,9259.670837,11,10,-0.372872843,-0.221572872,-2.749628036
9179,0,4527.802519,9,8,0.252040277,0.11984127,-3.156335564
9279,0,3820.709672,6,5,-0.342494615,-0.233333333,-2.515909267
9379,1,7747.008651,40,38,1.802052066,1.367913922,-5.463771473
9679,0,10766.51666,28,27,1.498012725,1.145657922,-3.757105126
00CG029,0,9200.419291,22,21,0.388525431,0.163828045,-3.581249976
00CG031,1,9774.499413,33,31,1.649726989,1.367858094,-3.600501351
00CG032,0,6878.791452,21,20,1.785694797,1.375949257,-4.670785961
00DB01,1,10899.14679,20,17,0.170199247,0.354520686,-3.748413762
00DB02,0,6041.209176,10,9,0.813346428,0.542063492,-3.390346005
00DB05,0,8877.765432,14,13,0.262588477,0.13973249,-3.061978165
00DB15,1,9581.698257,20,18,0.470199247,0.354520686,-3.920588401
00DB20,0,12042.82033,11,10,0.808945339,0.414790765,-2.261441657
00DL01,0,7465.718358,7,6,0.455735657,0.1,-2.291162714
1,NA,1,NA,1,NA,1,NA
00DL900,2,7617.822529,22,19,0.706707249,0.845646227,-3.783662876
00DL901,0,7954.102809,22,21,0.252161794,0.027464409,-4.712456386
00DM01,0,5053.862857,8,7,-0.338510021,-0.310714286,-3.150430145
00JM01,0,6920.968148,14,13,-0.380268666,-0.36026751,-4.186027026
00JM02,1,25765.40416,9,7,1.363151388,0.786507937,-0.983874017
1,NA,1,NA,1,NA,1,NA
00KJ01,2,26306.99799,11,8,-0.554691025,-0.403391053,-0.819515293
00KJ02,0,8953.477109,22,21,1.933979976,1.527464409,-3.964693626
00KJ03,1,9839.521961,22,20,0.706707249,0.482009863,-3.819146967
